maintopic	subtopics
religion	"christianity, god, religion"
gender	"feminism, gender, women, lgbtq"
enviroment	"climate change, economics, earth, enviroment"
animals	"animals, animal rights"
democracy	"democracy, elections"
europe	"europe, eu, uk"
technology	"ai, technology, internet, computers, computing"
education	"children, school, education"
history	history
violence	violence
military	"war, military"
business	business
human rights	"race, equality, human rights, free speech"
health	medicine
morality	morality
philosophy	philosophy
science	science
culture	"culture, art, artist, movies, film, literature"
law	justice
finance	"money, cryptocurrency, crypto, blockchain, taxation, finance"
usa	"usa, trump, obama"
immigration	"immigration, border, control"
